case,variant,trial,phase,operations,elapsed_ms,p50_us,p95_us,p99_us,ops_per_second,allocations,live_byte_delta,peak_live_bytes,persisted_bytes,recall_at_10
euclidean-128,current,2,remove,999,58.793,44.542,143.542,231.875,16991.9,276424,-2956740,22246490,0,NaN
euclidean-128,current,2,query_deleted,3000,340.082,105.000,146.834,232.791,8821.4,3000,0,18576374,0,0.95750
euclidean-128,current,2,reinsert,999,582.928,560.167,861.250,1013.167,1713.8,287819,2808464,21444150,0,NaN
euclidean-128,current,2,query_reinserted,3000,613.145,139.708,291.458,668.000,4892.8,3000,0,21384838,0,0.96250
cosine-384,baseline,2,distance_mixed,10000,6.553,0.625,0.667,0.792,1525950.9,0,0,9596733,0,NaN
cosine-384,baseline,2,build,3000,5995.853,1996.083,3567.458,4267.042,500.3,861469,11538552,21176197,0,NaN
cosine-384,baseline,2,query,2000,1016.086,483.292,636.291,766.375,1968.3,2000,0,21122717,0,0.93750
cosine-384,baseline,2,flush,3000,7.555,7554.542,7554.542,7554.542,397112.1,6542,5152707,26383737,5010001,NaN
cosine-384,baseline,2,load,3000,28.713,28713.000,28713.000,28713.000,104482.3,46024,9937866,36417376,5010001,NaN
cosine-384,baseline,2,query_reloaded,2000,1054.765,494.375,642.458,824.875,1896.2,2000,0,36213653,0,0.93750
cosine-384,baseline,2,remove,599,43.326,67.000,109.708,158.667,13825.3,163349,-1996800,21166080,0,NaN
cosine-384,baseline,2,query_deleted,2000,792.206,385.084,463.334,582.167,2524.6,2000,0,19086872,0,0.93500
cosine-384,baseline,2,reinsert,599,958.430,1502.541,2203.208,2568.334,625.0,174624,1975448,21130040,0,NaN
cosine-384,baseline,2,query_reinserted,2000,1008.840,481.667,628.625,773.167,1982.5,2000,0,21062320,0,0.93750
cosine-384,current,2,distance_mixed,10000,5.331,0.500,0.542,0.583,1875732.7,0,0,9596733,0,NaN
cosine-384,current,2,build,3000,2107.461,692.541,1225.166,1509.250,1423.5,853810,11479688,21117029,0,NaN
cosine-384,current,2,query,2000,406.312,178.125,316.542,508.625,4922.3,2000,0,20994213,0,0.93750
cosine-384,current,2,flush,3000,8.619,8618.958,8618.958,8618.958,348069.9,6542,5141931,26255233,5010001,NaN
cosine-384,current,2,load,3000,28.506,28506.458,28506.458,28506.458,105239.3,46024,9937866,36278384,5010001,NaN
cosine-384,current,2,query_reloaded,2000,363.805,171.833,233.959,349.125,5497.4,2000,0,36074373,0,0.93750
cosine-384,current,2,remove,599,28.791,44.791,73.417,93.875,20804.8,163349,-1996800,21026800,0,NaN
cosine-384,current,2,query_deleted,2000,303.094,144.666,189.084,241.166,6598.6,2000,0,18947592,0,0.93500
cosine-384,current,2,reinsert,599,367.392,574.500,817.583,908.042,1630.4,173275,1974544,20989752,0,NaN
cosine-384,current,2,query_reinserted,2000,449.267,182.583,322.500,1054.584,4451.7,2000,0,20922136,0,0.93750
