case,variant,trial,phase,operations,elapsed_ms,p50_us,p95_us,p99_us,ops_per_second,allocations,live_byte_delta,peak_live_bytes,persisted_bytes,recall_at_10
euclidean-128,baseline,0,distance_mixed,10000,2.426,0.208,0.209,0.250,4122718.5,0,0,4598525,0,NaN
euclidean-128,baseline,0,build,5000,8439.295,1341.334,2735.875,10595.125,592.5,1442237,17208936,21819693,0,NaN
euclidean-128,baseline,0,query,3000,1038.308,316.208,508.875,621.666,2889.3,3000,0,21812893,0,0.96500
euclidean-128,baseline,0,flush,5000,8.366,8366.084,8366.084,8366.084,597651.2,10879,4746029,26764595,4507165,NaN
euclidean-128,baseline,0,load,5000,33.380,33379.583,33379.583,33379.583,149792.2,74444,13479410,40394844,4507165,NaN
euclidean-128,baseline,0,query_reloaded,3000,1200.448,344.792,695.375,1451.709,2499.1,3000,0,40038697,0,0.96500
euclidean-128,baseline,0,remove,999,87.368,64.875,229.458,338.792,11434.3,276424,-2956740,22455402,0,NaN
euclidean-128,baseline,0,query_deleted,3000,821.224,250.875,396.833,514.041,3653.1,3000,0,18785286,0,0.95750
euclidean-128,baseline,0,reinsert,999,1303.260,1248.042,2056.583,2424.125,766.5,290174,2808776,21653374,0,NaN
euclidean-128,baseline,0,query_reinserted,3000,984.202,299.584,460.500,595.750,3048.2,3000,0,21594062,0,0.96250
euclidean-128,current,0,distance_mixed,10000,1.740,0.125,0.167,0.167,5746849.0,0,0,4598525,0,NaN
euclidean-128,current,0,build,5000,2536.172,510.083,832.167,979.792,1971.5,1431171,17088160,21698917,0,NaN
euclidean-128,current,0,query,3000,421.294,131.959,182.625,270.459,7120.9,3000,0,21622477,0,0.96500
euclidean-128,current,0,flush,5000,8.364,8364.167,8364.167,8364.167,597788.2,10879,4727533,26574179,4507165,NaN
euclidean-128,current,0,load,5000,32.300,32299.958,32299.958,32299.958,154799.0,74444,13479410,40185932,4507165,NaN
euclidean-128,current,0,query_reloaded,3000,410.908,127.584,173.916,298.375,7300.9,3000,0,39829785,0,0.96500
euclidean-128,current,0,remove,999,60.524,43.875,155.916,250.083,16505.9,276424,-2956740,22246490,0,NaN
euclidean-128,current,0,query_deleted,3000,347.450,106.917,153.542,237.042,8634.3,3000,0,18576374,0,0.95750
euclidean-128,current,0,reinsert,999,596.200,573.584,891.417,1018.291,1675.6,287819,2808464,21444150,0,NaN
euclidean-128,current,0,query_reinserted,3000,441.264,135.250,194.959,318.541,6798.6,3000,0,21384838,0,0.96250
cosine-384,baseline,0,distance_mixed,10000,6.796,0.625,0.667,0.750,1471354.6,0,0,9596733,0,NaN
cosine-384,baseline,0,build,3000,6182.833,2046.667,3769.541,4437.750,485.2,861469,11538552,21176197,0,NaN
cosine-384,baseline,0,query,2000,1159.793,540.334,799.750,1178.500,1724.4,2000,0,21122717,0,0.93750
cosine-384,baseline,0,flush,3000,7.230,7229.625,7229.625,7229.625,414959.3,6542,5152707,26383737,5010001,NaN
cosine-384,baseline,0,load,3000,28.679,28679.042,28679.042,28679.042,104606.0,46024,9937866,36417664,5010001,NaN
cosine-384,baseline,0,query_reloaded,2000,1452.304,524.250,973.791,4815.833,1377.1,2000,0,36213653,0,0.93750
cosine-384,baseline,0,remove,599,47.893,77.500,111.750,164.750,12507.0,163349,-1996800,21166080,0,NaN
cosine-384,baseline,0,query_deleted,2000,884.183,424.375,570.000,660.083,2262.0,2000,0,19086872,0,0.93500
cosine-384,baseline,0,reinsert,599,1036.492,1647.958,2431.541,2852.292,577.9,174624,1975448,21130040,0,NaN
cosine-384,baseline,0,query_reinserted,2000,1067.185,503.167,707.000,838.958,1874.1,2000,0,21062320,0,0.93750
cosine-384,current,0,distance_mixed,10000,5.351,0.500,0.542,0.625,1868663.9,0,0,9596733,0,NaN
cosine-384,current,0,build,3000,2193.933,698.250,1276.750,1723.625,1367.4,853810,11479688,21117029,0,NaN
cosine-384,current,0,query,2000,384.652,183.250,241.209,372.916,5199.5,2000,0,20994213,0,0.93750
cosine-384,current,0,flush,3000,6.634,6634.167,6634.167,6634.167,452204.5,6542,5141931,26255233,5010001,NaN
cosine-384,current,0,load,3000,27.459,27459.333,27459.333,27459.333,109252.5,46024,9937866,36278384,5010001,NaN
cosine-384,current,0,query_reloaded,2000,387.247,179.500,255.666,424.750,5164.7,2000,0,36074373,0,0.93750
cosine-384,current,0,remove,599,32.377,51.250,81.292,103.375,18500.7,163349,-1996800,21026800,0,NaN
cosine-384,current,0,query_deleted,2000,313.430,145.833,196.334,316.625,6381.0,2000,0,18947592,0,0.93500
cosine-384,current,0,reinsert,599,405.232,658.333,952.750,1099.250,1478.2,173275,1974544,20989752,0,NaN
cosine-384,current,0,query_reinserted,2000,393.682,184.500,253.667,416.750,5080.2,2000,0,20922136,0,0.93750
euclidean-128,baseline,1,distance_mixed,10000,2.208,0.208,0.209,0.209,4528815.3,0,0,4598525,0,NaN
euclidean-128,baseline,1,build,5000,5727.130,1145.459,1987.333,2342.125,873.0,1442238,17208936,21819693,0,NaN
euclidean-128,baseline,1,query,3000,981.437,300.166,450.542,582.917,3056.7,3000,0,21812893,0,0.96500
euclidean-128,baseline,1,flush,5000,8.271,8271.292,8271.292,8271.292,604500.5,10879,4746029,26764595,4507165,NaN
euclidean-128,baseline,1,load,5000,32.125,32124.666,32124.666,32124.666,155643.6,74444,13479410,40394844,4507165,NaN
euclidean-128,baseline,1,query_reloaded,3000,983.138,302.250,453.750,632.583,3051.5,3000,0,40038697,0,0.96500
euclidean-128,baseline,1,remove,999,78.188,57.292,192.875,325.083,12776.8,276424,-2956740,22455402,0,NaN
euclidean-128,baseline,1,query_deleted,3000,837.365,254.250,422.875,568.209,3582.7,3000,0,18785286,0,0.95750
euclidean-128,baseline,1,reinsert,999,1290.444,1224.666,2029.625,2363.208,774.2,290174,2808776,21653374,0,NaN
euclidean-128,baseline,1,query_reinserted,3000,991.120,305.667,449.500,628.959,3026.9,3000,0,21594062,0,0.96250
euclidean-128,current,1,distance_mixed,10000,1.785,0.125,0.167,0.209,5602633.2,0,0,4598525,0,NaN
euclidean-128,current,1,build,5000,2538.310,512.333,837.042,968.958,1969.8,1431171,17088160,21698917,0,NaN
euclidean-128,current,1,query,3000,430.332,135.750,186.167,281.709,6971.4,3000,0,21622477,0,0.96500
euclidean-128,current,1,flush,5000,7.737,7737.083,7737.083,7737.083,646238.4,10879,4727533,26574179,4507165,NaN
euclidean-128,current,1,load,5000,33.065,33064.750,33064.750,33064.750,151218.4,74444,13479410,40185932,4507165,NaN
euclidean-128,current,1,query_reloaded,3000,412.427,127.208,175.250,274.083,7274.0,3000,0,39829785,0,0.96500
euclidean-128,current,1,remove,999,57.124,42.167,142.417,219.416,17488.2,276424,-2956740,22246490,0,NaN
euclidean-128,current,1,query_deleted,3000,350.655,106.916,161.792,264.042,8555.4,3000,0,18576374,0,0.95750
euclidean-128,current,1,reinsert,999,591.710,558.875,894.750,1034.334,1688.3,287819,2808464,21444150,0,NaN
euclidean-128,current,1,query_reinserted,3000,437.206,135.125,192.375,324.625,6861.8,3000,0,21384838,0,0.96250
cosine-384,baseline,1,distance_mixed,10000,6.683,0.625,0.667,0.750,1496231.2,0,0,9596733,0,NaN
cosine-384,baseline,1,build,3000,6221.490,2034.625,3709.666,4838.709,482.2,861469,11538552,21176197,0,NaN
cosine-384,baseline,1,query,2000,991.888,480.041,588.375,727.000,2016.4,2000,0,21122717,0,0.93750
cosine-384,baseline,1,flush,3000,7.027,7026.667,7026.667,7026.667,426945.0,6542,5152707,26383737,5010001,NaN
cosine-384,baseline,1,load,3000,27.592,27591.917,27591.917,27591.917,108727.5,46024,9937866,36417664,5010001,NaN
cosine-384,baseline,1,query_reloaded,2000,1018.712,482.042,661.208,772.834,1963.3,2000,0,36213653,0,0.93750
cosine-384,baseline,1,remove,599,41.013,64.166,106.625,128.875,14605.2,163349,-1996800,21166080,0,NaN
cosine-384,baseline,1,query_deleted,2000,825.369,394.792,524.375,616.792,2423.2,2000,0,19086872,0,0.93500
cosine-384,baseline,1,reinsert,599,1163.659,1794.542,2644.125,5749.667,514.8,174624,1975448,21130040,0,NaN
cosine-384,baseline,1,query_reinserted,2000,1047.762,480.041,683.291,939.834,1908.8,2000,0,21062320,0,0.93750
cosine-384,current,1,distance_mixed,10000,5.210,0.500,0.500,0.583,1919416.4,0,0,9596733,0,NaN
cosine-384,current,1,build,3000,2038.518,674.708,1167.125,1402.417,1471.7,853810,11479688,21117029,0,NaN
cosine-384,current,1,query,2000,362.463,176.458,204.542,258.750,5517.8,2000,0,20994213,0,0.93750
cosine-384,current,1,flush,3000,7.457,7457.125,7457.125,7457.125,402299.8,6542,5141931,26255233,5010001,NaN
cosine-384,current,1,load,3000,28.167,28167.375,28167.375,28167.375,106506.2,46024,9937866,36278384,5010001,NaN
cosine-384,current,1,query_reloaded,2000,358.401,173.541,204.792,280.916,5580.3,2000,0,36074373,0,0.93750
cosine-384,current,1,remove,599,28.162,45.459,70.375,89.875,21270.0,163349,-1996800,21026800,0,NaN
cosine-384,current,1,query_deleted,2000,314.529,151.375,194.166,257.167,6358.7,2000,0,18947592,0,0.93500
cosine-384,current,1,reinsert,599,385.356,613.916,858.541,950.875,1554.4,173275,1974544,20989752,0,NaN
cosine-384,current,1,query_reinserted,2000,382.282,184.958,227.791,291.083,5231.7,2000,0,20922136,0,0.93750
euclidean-128,baseline,2,distance_mixed,10000,2.203,0.208,0.209,0.250,4538749.6,0,0,4598525,0,NaN
euclidean-128,baseline,2,build,5000,5612.648,1117.833,1907.458,2231.167,890.8,1442239,17208936,21819693,0,NaN
euclidean-128,baseline,2,query,3000,899.056,293.334,336.459,445.875,3336.8,3000,0,21812893,0,0.96500
euclidean-128,baseline,2,flush,5000,8.181,8180.667,8180.667,8180.667,611197.1,10879,4746029,26764595,4507165,NaN
euclidean-128,baseline,2,load,5000,33.022,33022.209,33022.209,33022.209,151413.3,74444,13479410,40394988,4507165,NaN
euclidean-128,baseline,2,query_reloaded,3000,881.102,287.458,334.708,399.000,3404.8,3000,0,40038697,0,0.96500
euclidean-128,baseline,2,remove,999,75.815,57.292,195.500,286.750,13176.9,276424,-2956740,22455402,0,NaN
euclidean-128,baseline,2,query_deleted,3000,714.972,234.375,268.459,322.708,4196.0,3000,0,18785286,0,0.95750
euclidean-128,baseline,2,reinsert,999,1198.416,1150.750,1849.792,2172.584,833.6,290174,2808776,21653374,0,NaN
euclidean-128,baseline,2,query_reinserted,3000,896.355,292.167,348.917,398.791,3346.9,3000,0,21594062,0,0.96250
euclidean-128,current,2,distance_mixed,10000,1.687,0.125,0.167,0.167,5928560.8,0,0,4598525,0,NaN
euclidean-128,current,2,build,5000,2433.613,499.792,767.000,877.667,2054.6,1431171,17088160,21698917,0,NaN
euclidean-128,current,2,query,3000,399.908,127.875,166.625,203.750,7501.7,3000,0,21622477,0,0.96500
euclidean-128,current,2,flush,5000,8.355,8354.791,8354.791,8354.791,598459.0,10879,4727533,26574179,4507165,NaN
euclidean-128,current,2,load,5000,33.408,33408.084,33408.084,33408.084,149664.4,74444,13479410,40185932,4507165,NaN
euclidean-128,current,2,query_reloaded,3000,387.957,126.625,149.042,176.333,7732.8,3000,0,39829785,0,0.96500
